,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Urania,SA,5573,https://www.smartpropertyinvestment.com.au/data/sa/5573/urania,,,,,,,,,,,,,,,,,,,,,,,,"$1,401","$1,130",,0.0%,,,$0,"$5,876",0
Uworra,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/uworra,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Veitch,SA,5311,https://www.smartpropertyinvestment.com.au/data/sa/5311/veitch,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Venus Bay,SA,5607,https://www.smartpropertyinvestment.com.au/data/sa/5607/venus-bay,,,,,,,,,,,,,,,,,,,,,,,,"$1,175",$976,,,,,$0,"$5,077",0
Verran,SA,5603,https://www.smartpropertyinvestment.com.au/data/sa/5603/verran,,,,,,,,,,,,,,,,,,,,,,,,"$1,164",$968,,0.0%,,,$0,"$5,035",0
Vine Vale,SA,5352,https://www.smartpropertyinvestment.com.au/data/sa/5352/vine-vale,,,,,,,,,,,,,,,,,,,,,,,,"$1,346","$1,092",,0.0%,,,$0,"$5,681",0
Waddikee,SA,5640,https://www.smartpropertyinvestment.com.au/data/sa/5640/waddikee,,,,,,,,,,,,,,,,,,,,,,,,"$1,224","$1,009",,0.0%,,,$0,"$5,249",0
Wall Flat,SA,5254,https://www.smartpropertyinvestment.com.au/data/sa/5254/wall-flat,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,655",0
Wallala,SA,5661,https://www.smartpropertyinvestment.com.au/data/sa/5661/wallala,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wallaroo Plain,SA,5556,https://www.smartpropertyinvestment.com.au/data/sa/5556/wallaroo-plain,,,,,,,,,,,,,,,,,,,,,,,,"$1,094",$921,,0.0%,,,$0,"$4,789",0
Wallerberdina,SA,5713,https://www.smartpropertyinvestment.com.au/data/sa/5713/wallerberdina,,,,,,,,,,,,,,,,,,,,,,,,,$651,,,,,$0,"$3,386",0
Walloway,SA,5431,https://www.smartpropertyinvestment.com.au/data/sa/5431/walloway,,,,,,,,,,,,,,,,,,,,,,,,$924,$806,,0.0%,,,$0,"$4,189",0
Waltowa,SA,5264,https://www.smartpropertyinvestment.com.au/data/sa/5264/waltowa,,,,,,,,,,,,,,,,,,,,,,,,"$1,005",$861,,0.0%,,,$0,"$4,476",0
Wami Kata,SA,5700,https://www.smartpropertyinvestment.com.au/data/sa/5700/wami-kata,,,,,,,,,,,,,,,,,,,,,,,,"$1,181",$980,,0.0%,,,$0,"$5,097",0
Wanbi,SA,5310,https://www.smartpropertyinvestment.com.au/data/sa/5310/wanbi,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wandana,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/wandana,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,,,,$0,"$5,361",0
Wandearah East,SA,5523,https://www.smartpropertyinvestment.com.au/data/sa/5523/wandearah-east,,,,,,,,,,,,,,,,,,,,,,,,"$1,243","$1,022",,0.0%,,,$0,"$5,317",0
Wandearah West,SA,5523,https://www.smartpropertyinvestment.com.au/data/sa/5523/wandearah-west,,,,,,,,,,,,,,,,,,,,,,,,"$1,243","$1,022",,0.0%,,,$0,"$5,317",0
Wangolina,SA,5275,https://www.smartpropertyinvestment.com.au/data/sa/5275/wangolina,,,,,,,,,,,,,,,,,,,,,,,,"$1,215","$1,003",,15.0%,,,$0,"$5,216",0
Wanilla,SA,5607,https://www.smartpropertyinvestment.com.au/data/sa/5607/wanilla,,,,,,,,,,,,,,,,,,,,,,,,"$1,175",$976,,0.0%,,,$0,"$5,077",0
Wappilka,SA,5332,https://www.smartpropertyinvestment.com.au/data/sa/5332/wappilka,,,,,,,,,,,,,,,,,,,,,,,,$857,$758,,0.0%,,,$0,"$3,943",0
Warburto,SA,5558,https://www.smartpropertyinvestment.com.au/data/sa/5558/warburto,,,,,,,,,,,,,,,,,,,,,,,,"$1,082",$913,,0.0%,,,$0,"$4,747",0
Ward Belt,SA,5118,https://www.smartpropertyinvestment.com.au/data/sa/5118/ward-belt,,,,,,,,,,,,,,,,,,,,,,,,"$1,237","$1,018",,0.0%,,,$0,"$5,295",0
Ward Hill,SA,5522,https://www.smartpropertyinvestment.com.au/data/sa/5522/ward-hill,,,,,,,,,,,,,,,,,,,,,,,,"$1,299","$1,061",,0.0%,,,$0,"$5,515",0
Warnertown,SA,5540,https://www.smartpropertyinvestment.com.au/data/sa/5540/warnertown,,,,,,,,,,,,,,,,,,,,,,,,"$1,127",$944,,0.0%,,,$0,"$4,906",0
Warnes,SA,5341,https://www.smartpropertyinvestment.com.au/data/sa/5341/warnes,,,,,,,,,,,,,,,,,,,,,,,,"$1,011",$864,,0.0%,,,$0,"$4,495",0
Warramboo,SA,5650,https://www.smartpropertyinvestment.com.au/data/sa/5650/warramboo,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Warraweena,SA,5730,https://www.smartpropertyinvestment.com.au/data/sa/5730/warraweena,,,,,,,,,,,,,,,,,,,,,,,,,$651,,,,,$0,"$3,386",0
Washpool,SA,5454,https://www.smartpropertyinvestment.com.au/data/sa/5454/washpool,,,,,,,,,,,,,,,,,,,,,,,,"$1,102",$926,,,,,$0,"$4,816",0
Watarru,SA,872,https://www.smartpropertyinvestment.com.au/data/sa/872/watarru,,,,,,,,,,,,,,,,,,,,,,,,$952,$824,,0.0%,,,$0,"$4,286",0
Watchman,SA,5461,https://www.smartpropertyinvestment.com.au/data/sa/5461/watchman,,,,,,,,,,,,,,,,,,,,,,,,"$1,143",$954,,0.0%,,,$0,"$4,963",0
Waterloo,SA,5413,https://www.smartpropertyinvestment.com.au/data/sa/5413/waterloo,,,,,,,,,,,,,,,,,,,,,,,,"$1,003",$859,,,,,$0,"$4,466",0
Watraba,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/watraba,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Wattle Flat,SA,5203,https://www.smartpropertyinvestment.com.au/data/sa/5203/wattle-flat,,,,,,,,,,,,,,,,,,,,,,,,$996,$855,,,,,$0,"$4,444",0
Wattle Range,SA,5280,https://www.smartpropertyinvestment.com.au/data/sa/5280/wattle-range,,,,,,,,,,,,,,,,,,,,,,,,"$1,088",$917,,0.0%,,,$0,"$4,769",0
Wattle Range East,SA,5279,https://www.smartpropertyinvestment.com.au/data/sa/5279/wattle-range-east,,,,,,,,,,,,,,,,,,,,,,,,"$1,044",$887,,0.0%,,,$0,"$4,613",0
Wauraltee,SA,5573,https://www.smartpropertyinvestment.com.au/data/sa/5573/wauraltee,,,,,,,,,,,,,,,,,,,,,,,,"$1,401","$1,130",,0.0%,,,$0,"$5,876",0
Wedge Island,SA,5606,https://www.smartpropertyinvestment.com.au/data/sa/5606/wedge-island,,,,,,,,,,,,,,,,,,,,,,,,"$1,215","$1,004",,,,,$0,"$5,219",0
Weetulta,SA,5573,https://www.smartpropertyinvestment.com.au/data/sa/5573/weetulta,,,,,,,,,,,,,,,,,,,,,,,,"$1,401","$1,130",,0.0%,,,$0,"$5,876",0
Wepar,SA,5278,https://www.smartpropertyinvestment.com.au/data/sa/5278/wepar,,,,,,,,,,,,,,,,,,,,,,,,"$1,194",$989,,0.0%,,,$0,"$5,144",0
West Bundaleer,SA,5491,https://www.smartpropertyinvestment.com.au/data/sa/5491/west-bundaleer,,,,,,,,,,,,,,,,,,,,,,,,"$1,290","$1,054",,0.0%,,,$0,"$5,481",0
West Lakes,SA,5023,https://www.smartpropertyinvestment.com.au/data/sa/5023/west-lakes,,,,,,,,,,,,,,,,,,,,,,,,"$1,172",$974,,28.4%,,,$0,"$5,064",0
West Range,SA,5275,https://www.smartpropertyinvestment.com.au/data/sa/5275/west-range,,,,,,,,,,,,,,,,,,,,,,,,"$1,215","$1,003",,0.0%,,,$0,"$5,216",0
Westall,SA,5680,https://www.smartpropertyinvestment.com.au/data/sa/5680/westall,,,,,,,,,,,,,,,,,,,,,,,,"$1,172",$974,,0.0%,,,$0,"$5,066",0
Western Flat,SA,5268,https://www.smartpropertyinvestment.com.au/data/sa/5268/western-flat,,,,,,,,,,,,,,,,,,,,,,,,"$1,149",$958,,0.0%,,,$0,"$4,983",0
Western River,SA,5223,https://www.smartpropertyinvestment.com.au/data/sa/5223/western-river,,,,,,,,,,,,,,,,,,,,,,,,$971,$838,,0.0%,,,$0,"$4,356",0
Wharminda,SA,5603,https://www.smartpropertyinvestment.com.au/data/sa/5603/wharminda,,,,,,,,,,,,,,,,,,,,,,,,"$1,164",$968,,0.0%,,,$0,"$5,035",0
White Hill,SA,5254,https://www.smartpropertyinvestment.com.au/data/sa/5254/white-hill,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,655",0
White Hut,SA,5575,https://www.smartpropertyinvestment.com.au/data/sa/5575/white-hut,,,,,,,,,,,,,,,,,,,,,,,,"$1,077",$909,,0.0%,,,$0,"$4,729",0
White Sands,SA,5253,https://www.smartpropertyinvestment.com.au/data/sa/5253/white-sands,,,,,,,,,,,,,,,,,,,,,,,,$992,$852,,0.0%,,,$0,"$4,429",0
White Well Corner,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/white-well-corner,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Whites Flat,SA,5607,https://www.smartpropertyinvestment.com.au/data/sa/5607/whites-flat,,,,,,,,,,,,,,,,,,,,,,,,"$1,175",$976,,0.0%,,,$0,"$5,077",0
Whites River,SA,5607,https://www.smartpropertyinvestment.com.au/data/sa/5607/whites-river,,,,,,,,,,,,,,,,,,,,,,,,"$1,175",$976,,0.0%,,,$0,"$5,077",0
Whites Valley,SA,5172,https://www.smartpropertyinvestment.com.au/data/sa/5172/whites-valley,,,,,,,,,,,,,,,,,,,,,,,,"$1,263","$1,036",,9.7%,,,$0,"$5,389",0
Whyalla Barson,SA,5601,https://www.smartpropertyinvestment.com.au/data/sa/5601/whyalla-barson,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Whyte Yarcowie,SA,5420,https://www.smartpropertyinvestment.com.au/data/sa/5420/whyte-yarcowie,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wigley Flat,SA,5330,https://www.smartpropertyinvestment.com.au/data/sa/5330/wigley-flat,,,,,,,,,,,,,,,,,,,,,,,,$991,$851,,0.0%,,,$0,"$4,424",0
Wilcherry,SA,5641,https://www.smartpropertyinvestment.com.au/data/sa/5641/wilcherry,,,,,,,,,,,,,,,,,,,,,,,,"$1,216","$1,004",,0.0%,,,$0,"$5,219",0
Wild Dog Valley,SA,5271,https://www.smartpropertyinvestment.com.au/data/sa/5271/wild-dog-valley,,,,,,,,,,,,,,,,,,,,,,,,"$1,143",$955,,,,,$0,"$4,964",0
Wild Horse Plains,SA,5501,https://www.smartpropertyinvestment.com.au/data/sa/5501/wild-horse-plains,,,,,,,,,,,,,,,,,,,,,,,,"$1,227","$1,012",,0.0%,,,$0,"$5,260",0
Wilgena,SA,5719,https://www.smartpropertyinvestment.com.au/data/sa/5719/wilgena,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Willalo,SA,5419,https://www.smartpropertyinvestment.com.au/data/sa/5419/willalo,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Willalooka,SA,5267,https://www.smartpropertyinvestment.com.au/data/sa/5267/willalooka,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,654",0
Willamulka,SA,5554,https://www.smartpropertyinvestment.com.au/data/sa/5554/willamulka,,,,,,,,,,,,,,,,,,,,,,,,"$1,117",$937,,0.0%,,,$0,"$4,872",0
William Creek,SA,5723,https://www.smartpropertyinvestment.com.au/data/sa/5723/william-creek,,,,,,,,,,,,,,,,,,,,,,,,"$1,082",$913,,0.0%,,,$0,"$4,749",0
Willippa,SA,5432,https://www.smartpropertyinvestment.com.au/data/sa/5432/willippa,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Willochra,SA,5433,https://www.smartpropertyinvestment.com.au/data/sa/5433/willochra,,,,,,,,,,,,,,,,,,,,,,,,"$1,145",$956,,0.0%,,,$0,"$4,970",0
Willoughby,SA,5222,https://www.smartpropertyinvestment.com.au/data/sa/5222/willoughby,,,,,,,,,,,,,,,,,,,,,,,,"$1,014",$867,,,,,$0,"$4,506",0
Willow Creek,SA,5211,https://www.smartpropertyinvestment.com.au/data/sa/5211/willow-creek,,,,,,,,,,,,,,,,,,,,,,,,"$1,028",$876,,0.0%,,,$0,"$4,556",0
Willowie,SA,5431,https://www.smartpropertyinvestment.com.au/data/sa/5431/willowie,,,,,,,,,,,,,,,,,,,,,,,,$924,$806,,0.0%,,,$0,"$4,189",0
Willson River,SA,5222,https://www.smartpropertyinvestment.com.au/data/sa/5222/willson-river,,,,,,,,,,,,,,,,,,,,,,,,"$1,014",$867,,0.0%,,,$0,"$4,506",0
Willunga Hill,SA,5172,https://www.smartpropertyinvestment.com.au/data/sa/5172/willunga-hill,,,,,,,,,,,,,,,,,,,,,,,,"$1,263","$1,036",,0.0%,,,$0,"$5,389",0
Windsor,SA,5501,https://www.smartpropertyinvestment.com.au/data/sa/5501/windsor,,,,,,,,,,,,,,,,,,,,,,,,"$1,227","$1,012",,,,,$0,"$5,260",0
Winninowie,SA,5700,https://www.smartpropertyinvestment.com.au/data/sa/5700/winninowie,,,,,,,,,,,,,,,,,,,,,,,,"$1,181",$980,,0.0%,,,$0,"$5,097",0
Winulta,SA,5570,https://www.smartpropertyinvestment.com.au/data/sa/5570/winulta,,,,,,,,,,,,,,,,,,,,,,,,"$1,041",$885,,0.0%,,,$0,"$4,603",0
Wirraminna,SA,5719,https://www.smartpropertyinvestment.com.au/data/sa/5719/wirraminna,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wirrega,SA,5267,https://www.smartpropertyinvestment.com.au/data/sa/5267/wirrega,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,654",0
Wirrulla,SA,5661,https://www.smartpropertyinvestment.com.au/data/sa/5661/wirrulla,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wisanger,SA,5223,https://www.smartpropertyinvestment.com.au/data/sa/5223/wisanger,,,,,,,,,,,,,,,,,,,,,,,,$971,$838,,0.0%,,,$0,"$4,356",0
Wistow,SA,5251,https://www.smartpropertyinvestment.com.au/data/sa/5251/wistow,,,,,,,,,,,,,,,,,,,,,,,,"$1,280","$1,048",,0.0%,,,$0,"$5,449",0
Witera,SA,5671,https://www.smartpropertyinvestment.com.au/data/sa/5671/witera,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wokurna,SA,5520,https://www.smartpropertyinvestment.com.au/data/sa/5520/wokurna,,,,,,,,,,,,,,,,,,,,,,,,"$1,329","$1,081",,0.0%,,,$0,"$5,620",0
Wolseley,SA,5269,https://www.smartpropertyinvestment.com.au/data/sa/5269/wolseley,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wombats Rest,SA,5320,https://www.smartpropertyinvestment.com.au/data/sa/5320/wombats-rest,,,,,,,,,,,,,,,,,,,,,,,,$994,$853,,0.0%,,,$0,"$4,436",0
Wongulla,SA,5238,https://www.smartpropertyinvestment.com.au/data/sa/5238/wongulla,,,,,,,,,,,,,,,,,,,,,,,,$939,$816,,0.0%,,,$0,"$4,242",0
Wongyarra,SA,5481,https://www.smartpropertyinvestment.com.au/data/sa/5481/wongyarra,,,,,,,,,,,,,,,,,,,,,,,,$980,$844,,0.0%,,,$0,"$4,387",0
Wonna,SA,5419,https://www.smartpropertyinvestment.com.au/data/sa/5419/wonna,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wonuarra,SA,5340,https://www.smartpropertyinvestment.com.au/data/sa/5340/wonuarra,,,,,,,,,,,,,,,,,,,,,,,,"$1,039",$883,,0.0%,,,$0,"$4,594",0
Woodlane,SA,5254,https://www.smartpropertyinvestment.com.au/data/sa/5254/woodlane,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,655",0
Woodleigh,SA,5311,https://www.smartpropertyinvestment.com.au/data/sa/5311/woodleigh,,,,,,,,,,,,,,,,,,,,,,,,,$651,,,,,$0,"$3,386",0
Woolpunda,SA,5330,https://www.smartpropertyinvestment.com.au/data/sa/5330/woolpunda,,,,,,,,,,,,,,,,,,,,,,,,$991,$851,,0.0%,,,$0,"$4,424",0
Woolshed Flat,SA,5412,https://www.smartpropertyinvestment.com.au/data/sa/5412/woolshed-flat,,,,,,,,,,,,,,,,,,,,,,,,"$1,102",$927,,,,,$0,"$4,819",0
Woolsheds,SA,5400,https://www.smartpropertyinvestment.com.au/data/sa/5400/woolsheds,,,,,,,,,,,,,,,,,,,,,,,,"$1,264","$1,037",,0.0%,,,$0,"$5,392",0
Woolumbool,SA,5272,https://www.smartpropertyinvestment.com.au/data/sa/5272/woolumbool,,,,,,,,,,,,,,,,,,,,,,,,"$1,337","$1,086",,0.0%,,,$0,"$5,648",0
Woolundunga,SA,5701,https://www.smartpropertyinvestment.com.au/data/sa/5701/woolundunga,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Woomera,SA,5720,https://www.smartpropertyinvestment.com.au/data/sa/5720/woomera,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Worlds End,SA,5381,https://www.smartpropertyinvestment.com.au/data/sa/5381/worlds-end,,,,,,,,,,,,,,,,,,,,,,,,,$651,,,,,$0,"$3,386",0
Wrattonbully,SA,5271,https://www.smartpropertyinvestment.com.au/data/sa/5271/wrattonbully,,,,,,,,,,,,,,,,,,,,,,,,"$1,143",$955,,0.0%,,,$0,"$4,964",0
Wunkar,SA,5311,https://www.smartpropertyinvestment.com.au/data/sa/5311/wunkar,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wynarka,SA,5306,https://www.smartpropertyinvestment.com.au/data/sa/5306/wynarka,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Wyomi,SA,5275,https://www.smartpropertyinvestment.com.au/data/sa/5275/wyomi,,,,,,,,,,,,,,,,,,,,,,,,"$1,215","$1,003",,0.0%,,,$0,"$5,216",0
Yalanda,SA,5641,https://www.smartpropertyinvestment.com.au/data/sa/5641/yalanda,,,,,,,,,,,,,,,,,,,,,,,,"$1,216","$1,004",,0.0%,,,$0,"$5,219",0
Yalata,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/yalata,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Yallunda Flat,SA,5607,https://www.smartpropertyinvestment.com.au/data/sa/5607/yallunda-flat,,,,,,,,,,,,,,,,,,,,,,,,"$1,175",$976,,10.3%,,,$0,"$5,077",0
Yalpara,SA,5431,https://www.smartpropertyinvestment.com.au/data/sa/5431/yalpara,,,,,,,,,,,,,,,,,,,,,,,,$924,$806,,0.0%,,,$0,"$4,189",0
Yamba,SA,5340,https://www.smartpropertyinvestment.com.au/data/sa/5340/yamba,,,,,,,,,,,,,,,,,,,,,,,,"$1,039",$883,,,,,$0,"$4,594",0
Yanerbie,SA,5680,https://www.smartpropertyinvestment.com.au/data/sa/5680/yanerbie,,,,,,,,,,,,,,,,,,,,,,,,"$1,172",$974,,0.0%,,,$0,"$5,066",0
Yaninee,SA,5653,https://www.smartpropertyinvestment.com.au/data/sa/5653/yaninee,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yantanabie,SA,5661,https://www.smartpropertyinvestment.com.au/data/sa/5661/yantanabie,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yanyarrie,SA,5432,https://www.smartpropertyinvestment.com.au/data/sa/5432/yanyarrie,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yardea,SA,5717,https://www.smartpropertyinvestment.com.au/data/sa/5717/yardea,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yarrah,SA,5433,https://www.smartpropertyinvestment.com.au/data/sa/5433/yarrah,,,,,,,,,,,,,,,,,,,,,,,,"$1,145",$956,,0.0%,,,$0,"$4,970",0
Yatala Vale,SA,5126,https://www.smartpropertyinvestment.com.au/data/sa/5126/yatala-vale,,,,,,,,,,,,,,,,,,,,,,,,"$1,223","$1,009",,0.0%,,,$0,"$5,246",0
Yatina,SA,5422,https://www.smartpropertyinvestment.com.au/data/sa/5422/yatina,,,,,,,,,,,,,,,,,,,,,,,,$934,$812,,0.0%,,,$0,"$4,223",0
Yattalunga,SA,5114,https://www.smartpropertyinvestment.com.au/data/sa/5114/yattalunga,,,,,,,,,,,,,,,,,,,,,,,,"$1,117",$937,,,,,$0,"$4,870",0
Yeelanna,SA,5632,https://www.smartpropertyinvestment.com.au/data/sa/5632/yeelanna,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yellabinna,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/yellabinna,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Yelta,SA,5558,https://www.smartpropertyinvestment.com.au/data/sa/5558/yelta,,,,,,,,,,,,,,,,,,,,,,,,"$1,082",$913,,,,,$0,"$4,747",0
Yinkanie,SA,5332,https://www.smartpropertyinvestment.com.au/data/sa/5332/yinkanie,,,,,,,,,,,,,,,,,,,,,,,,$857,$758,,0.0%,,,$0,"$3,943",0
Yongala,SA,5493,https://www.smartpropertyinvestment.com.au/data/sa/5493/yongala,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yorke Valley,SA,5573,https://www.smartpropertyinvestment.com.au/data/sa/5573/yorke-valley,,,,,,,,,,,,,,,,,,,,,,,,"$1,401","$1,130",,0.0%,,,$0,"$5,876",0
Younghusband Holdings,SA,5238,https://www.smartpropertyinvestment.com.au/data/sa/5238/younghusband-holdings,,,,,,,,,,,,,,,,,,,,,,,,$939,$816,,0.0%,,,$0,"$4,242",0
Yumali,SA,5261,https://www.smartpropertyinvestment.com.au/data/sa/5261/yumali,,,,,,,,,,,,,,,,,,,,,,,,"$1,210","$1,000",,0.0%,,,$0,"$5,200",0
Yumbarra,SA,5690,https://www.smartpropertyinvestment.com.au/data/sa/5690/yumbarra,,,,,,,,,,,,,,,,,,,,,,,,"$1,255","$1,031",,0.0%,,,$0,"$5,361",0
Yundi,SA,5172,https://www.smartpropertyinvestment.com.au/data/sa/5172/yundi,,,,,,,,,,,,,,,,,,,,,,,,"$1,263","$1,036",,0.0%,,,$0,"$5,389",0
Yunta,SA,5440,https://www.smartpropertyinvestment.com.au/data/sa/5440/yunta,,,,,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Zadows Landing,SA,5254,https://www.smartpropertyinvestment.com.au/data/sa/5254/zadows-landing,,,,,,,,,,,,,,,,,,,,,,,,"$1,056",$895,,0.0%,,,$0,"$4,655",0
Widgee Crossing South,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/widgee-crossing-south,,,,,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,0.0%,,,$0,"$4,580",0
Bald Knob,QLD,4552,https://www.smartpropertyinvestment.com.au/data/qld/4552/bald-knob,,,,,,,,,,,,,,,,,,,,,,,,"$1,176",$977,,0.0%,,,$0,"$5,080",0
Bells Bridge,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/bells-bridge,,,,,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,0.0%,,,$0,"$4,580",0
Jollys Lookout,QLD,4520,https://www.smartpropertyinvestment.com.au/data/qld/4520/jollys-lookout,,,,,,,,,,,,,,,,,,,,,,,,"$1,909","$1,475",,0.0%,,,$0,"$7,672",0
Cooroy Mountain,QLD,4563,https://www.smartpropertyinvestment.com.au/data/qld/4563/cooroy-mountain,,,,,,,,,,,,,,,,,,,,,,,,"$1,235","$1,017",,0.0%,,,$0,"$5,290",0
Camp Mountain,QLD,4520,https://www.smartpropertyinvestment.com.au/data/qld/4520/camp-mountain,,,,,,,,,,,,,,,,,,,,,,,,"$1,909","$1,475",,28.2%,,,$0,"$7,672",0
North Deep Creek,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/north-deep-creek,,,,,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,0.0%,,,$0,"$4,580",0
Lagoon Pocket,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/lagoon-pocket,,,,,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,0.0%,,,$0,"$4,580",0
Pinjarra Hills,QLD,4069,https://www.smartpropertyinvestment.com.au/data/qld/4069/pinjarra-hills,,,,,,,,,,,,,,,,,,,,,,,,"$2,103","$1,607",,42.9%,,,$0,"$8,356",0
McEwens Beach,QLD,4740,https://www.smartpropertyinvestment.com.au/data/qld/4740/mcewens-beach,,,,,,,,,,,,,,,,,,,,,,,,"$1,522","$1,212",,0.0%,,,$0,"$6,302",0
Kiels Mountain,QLD,4559,https://www.smartpropertyinvestment.com.au/data/qld/4559/kiels-mountain,,,,,,,,,,,,,,,,,,,,,,,,"$1,266","$1,038",,10.3%,,,$0,"$5,399",0
Weyba Downs,QLD,4562,https://www.smartpropertyinvestment.com.au/data/qld/4562/weyba-downs,,,,,,,,,,,,,,,,,,,,,,,,"$1,324","$1,078",,0.0%,,,$0,"$5,604",0
Mount Glorious,QLD,4520,https://www.smartpropertyinvestment.com.au/data/qld/4520/mount-glorious,,,,,,,,,,,,,,,,,,,,,,,,"$1,909","$1,475",,0.0%,,,$0,"$7,672",0
Cedar Creek,QLD,4207,https://www.smartpropertyinvestment.com.au/data/qld/4207/cedar-creek,,,,,,,,,,,,,,,,,,,,,,,,"$1,167",$971,,,,,$0,"$5,047",0
Kobble Creek,QLD,4520,https://www.smartpropertyinvestment.com.au/data/qld/4520/kobble-creek,,,,,,,,,,,,,,,,,,,,,,,,"$1,909","$1,475",,8.8%,,,$0,"$7,672",0
